,songs,artists
0,Blinding Lights,The Weeknd
1,Circles,Post Malone
2,The Box,Roddy Ricch
3,Don't Start Now,Dua Lipa
4,Rockstar,DaBaby Featuring Roddy Ricch
5,Adore You,Harry Styles
6,Life Is Good,Future Featuring Drake
7,Memories,Maroon 5
8,The Bones,Maren Morris
9,Someone You Loved,Lewis Capaldi
10,Say So,Doja Cat
11,I Hope,Gabby Barrett Featuring Charlie Puth
12,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
13,Dance Monkey,Tones And I
14,Savage,Megan Thee Stallion
15,Roxanne,Arizona Zervas
16,Intentions,Justin Bieber Featuring Quavo
17,Everything I Wanted,Billie Eilish
18,Roses,SAINt JHN
19,Watermelon Sugar,Harry Styles
20,Before You Go,Lewis Capaldi
21,Falling,Trevor Daniel
22,"10,000 Hours",Dan + Shay & Justin Bieber
23,WAP,Cardi B Featuring Megan Thee Stallion
24,Ballin',Mustard & Roddy Ricch
25,Hot Girl Bummer,blackbear
26,Blueberry Faygo,Lil Mosey
27,Heartless,The Weeknd
28,BOP,DaBaby
29,Lose You To Love Me,Selena Gomez
30,Good As Hell,Lizzo
31,Toosie Slide,Drake
32,Break My Heart,Dua Lipa
33,Chasin' You,Morgan Wallen
34,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
35,No Guidance,Chris Brown Featuring Drake
36,My Oh My,Camila Cabello Featuring DaBaby
37,Dynamite,BTS
38,Go Crazy,Chris Brown & Young Thug
39,High Fashion,Roddy Ricch Featuring Mustard
40,Laugh Now Cry Later,Drake Featuring Lil Durk
41,Woah,Lil Baby
42,Death Bed,Powfu Featuring beabadoobee
43,Senorita,Shawn Mendes & Camila Cabello
44,HIGHEST IN THE ROOM,Travis Scott
45,Bad Guy,Billie Eilish
46,Mood,24kGoldn Featuring iann dior
47,Rain On Me,Lady Gaga & Ariana Grande
48,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
49,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
50,Heart On Ice,Rod Wave
51,Nobody But You,Blake Shelton Duet With Gwen Stefani
52,Trampoline,SHAED
53,Come & Go,Juice WRLD x Marshmello
54,Truth Hurts,Lizzo
55,If The World Was Ending,JP Saxe Featuring Julia Michaels
56,We Paid,Lil Baby & 42 Dugg
57,Yummy,Justin Bieber
58,One Man Band,Old Dominion
59,Got What I Got,Jason Aldean
60,Sunday Best,Surfaces
61,Godzilla,Eminem Featuring Juice WRLD
62,Bandit,Juice WRLD & YoungBoy Never Broke Again
63,Party Girl,StaySolidRocky
64,Die From A Broken Heart,Maddie & Tae
65,Popstar,DJ Khaled Featuring Drake
66,All I Want For Christmas Is You,Mariah Carey
67,One Of Them Girls,Lee Brice
68,Hard To Forget,Sam Hunt
69,One Margarita,Luke Bryan
70,Panini,Lil Nas X
71,Hot,Young Thug Featuring Gunna
72,I Hope You're Happy Now,Carly Pearce & Lee Brice
73,Emotionally Scarred,Lil Baby
74,Suicidal,YNW Melly & Juice WRLD
75,The Bigger Picture,Lil Baby
76,Only Human,Jonas Brothers
77,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
78,Sum 2 Prove,Lil Baby
79,Stuck With U,Ariana Grande & Justin Bieber
80,Mood Swings,Pop Smoke Featuring Lil Tjay
81,You Should Be Sad,Halsey
82,Dior,Pop Smoke
83,Supalonely,BENEE Featuring Gus Dapperton
84,Even Though I'm Leaving,Luke Combs
85,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
86,Juicy,Doja Cat & Tyga
87,Be Like That,Kane Brown With Swae Lee & Khalid
88,Homesick,Kane Brown
89,Rags2Riches,Rod Wave Featuring ATR Son Son
90,Bluebird,Miranda Lambert
91,Wishing Well,Juice WRLD
92,Does To Me,Luke Combs Featuring Eric Church
93,P*$$y Fairy (OTW),Jhene Aiko
94,ily,Surf Mesa Featuring Emilee
95,More Than My Hometown,Morgan Wallen
96,Lovin' On You,Luke Combs
97,Said Sum,Moneybagg Yo
98,Slide,H.E.R. Featuring YG
99,Walk Em Down,NLE Choppa Featuring Roddy Ricch
